merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
Guess;25% Cashback;Min. pembelian  Rp299.000.;Emiliya Slg Large Zip Around;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Girlfriend Satchel Bag;-10%;Rp 2.878.800;Rp 2.590.920;Rp 2.590.920
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Fabric Tote Bag;-35%;Rp 869.000;None;Rp564.850
agnès b.;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Card Case;-42%;Rp 1.779.000;None;Rp1.036.350
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Classic Logo Tote Bag;-13%;Rp 5.379.000;None;Rp4.691.100
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Long Wallet;-30%;Rp 3.579.000;None;Rp2.534.250
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Shoulder Sling Bag;-24%;Rp 3.909.000;None;Rp2.977.200
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Logo Embroidery Tote Bag;-35%;Rp 5.379.000;None;Rp3.496.350
agnès b.;6% Cashback;Tanpa min. pembelian.;Bucket Leather Backpack;-60%;Rp 5.519.000;Rp 2.207.600;Rp 2.207.600
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Belt Bag;-5%;Rp 1.759.700;Rp 1.671.715;Rp 1.671.715
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Tri-Fold Wallet;-6%;Rp 2.969.000;None;Rp2.819.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bag (hz);-5%;Rp 2.959.000;Rp 2.811.050;Rp 2.811.050
agnès b.;20% off;Min. pembelian  Rp300.000, maks. potongan Rp150.000.;Sling Bag;-4%;Rp 4.109.000;None;Rp3.959.000
LONGCHAMP;35% off + 5% Cashback;Tanpa min. pembelian.;Le Pliage Original Shoulder Bag (hz);-10%;Rp 2.959.000;Rp 2.663.100;Rp 2.663.100
LONGCHAMP;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Le Pliage Original Top Handle Bag M (hz);-15%;Rp 2.659.000;Rp 2.260.150;Rp 2.260.150
agnès b.;35% off + 5% Cashback;Tanpa min. pembelian.;Shoulder Tote Bag;-35%;Rp 1.979.000;None;Rp1.286.350
